Download started at 14/11/2025  0:22:58,32 
 
[001] Downloading Al-Fatihah (7 ayahs)... 
  [OK] 002101.mp3 - Al-Baqarah Ayah 101 
  [OK] 002102.mp3 - Al-Baqarah Ayah 102 
  [OK] 002103.mp3 - Al-Baqarah Ayah 103 
  [OK] 002104.mp3 - Al-Baqarah Ayah 104 
  [OK] 002105.mp3 - Al-Baqarah Ayah 105 
  [OK] 002106.mp3 - Al-Baqarah Ayah 106 
  [OK] 002107.mp3 - Al-Baqarah Ayah 107 
  [OK] 002108.mp3 - Al-Baqarah Ayah 108 
  [OK] 002109.mp3 - Al-Baqarah Ayah 109 
  [OK] 002110.mp3 - Al-Baqarah Ayah 110 
  [OK] 002111.mp3 - Al-Baqarah Ayah 111 
  [OK] 002112.mp3 - Al-Baqarah Ayah 112 
  [OK] 002113.mp3 - Al-Baqarah Ayah 113 
  [OK] 002114.mp3 - Al-Baqarah Ayah 114 
  [OK] 002115.mp3 - Al-Baqarah Ayah 115 
  [OK] 002116.mp3 - Al-Baqarah Ayah 116 
  [OK] 002117.mp3 - Al-Baqarah Ayah 117 
  [OK] 002118.mp3 - Al-Baqarah Ayah 118 
  [OK] 002119.mp3 - Al-Baqarah Ayah 119 
  [OK] 002120.mp3 - Al-Baqarah Ayah 120 
  [OK] 002121.mp3 - Al-Baqarah Ayah 121 
  [OK] 002122.mp3 - Al-Baqarah Ayah 122 
  [OK] 002123.mp3 - Al-Baqarah Ayah 123 
  [OK] 002124.mp3 - Al-Baqarah Ayah 124 
  [OK] 002125.mp3 - Al-Baqarah Ayah 125 
  [OK] 002126.mp3 - Al-Baqarah Ayah 126 
  [OK] 002127.mp3 - Al-Baqarah Ayah 127 
  [OK] 002128.mp3 - Al-Baqarah Ayah 128 
  [OK] 002129.mp3 - Al-Baqarah Ayah 129 
  [OK] 002130.mp3 - Al-Baqarah Ayah 130 
  [OK] 002131.mp3 - Al-Baqarah Ayah 131 
  [OK] 002132.mp3 - Al-Baqarah Ayah 132 
  [OK] 002133.mp3 - Al-Baqarah Ayah 133 
  [OK] 002134.mp3 - Al-Baqarah Ayah 134 
  [OK] 002135.mp3 - Al-Baqarah Ayah 135 
  [OK] 002136.mp3 - Al-Baqarah Ayah 136 
  [OK] 002137.mp3 - Al-Baqarah Ayah 137 
  [OK] 002138.mp3 - Al-Baqarah Ayah 138 
  [OK] 002139.mp3 - Al-Baqarah Ayah 139 
  [OK] 002140.mp3 - Al-Baqarah Ayah 140 
  [OK] 002141.mp3 - Al-Baqarah Ayah 141 
  [OK] 002142.mp3 - Al-Baqarah Ayah 142 
  [OK] 002143.mp3 - Al-Baqarah Ayah 143 
  [OK] 002144.mp3 - Al-Baqarah Ayah 144 
  [OK] 002145.mp3 - Al-Baqarah Ayah 145 
  [OK] 002146.mp3 - Al-Baqarah Ayah 146 
  [OK] 002147.mp3 - Al-Baqarah Ayah 147 
  [OK] 002148.mp3 - Al-Baqarah Ayah 148 
  [OK] 002149.mp3 - Al-Baqarah Ayah 149 
  [OK] 002150.mp3 - Al-Baqarah Ayah 150 
  [OK] 002151.mp3 - Al-Baqarah Ayah 151 
  [OK] 002152.mp3 - Al-Baqarah Ayah 152 
  [OK] 002153.mp3 - Al-Baqarah Ayah 153 
  [OK] 002154.mp3 - Al-Baqarah Ayah 154 
  [OK] 002155.mp3 - Al-Baqarah Ayah 155 
  [OK] 002156.mp3 - Al-Baqarah Ayah 156 
  [OK] 002157.mp3 - Al-Baqarah Ayah 157 
  [OK] 002158.mp3 - Al-Baqarah Ayah 158 
  [OK] 002159.mp3 - Al-Baqarah Ayah 159 
  [OK] 002160.mp3 - Al-Baqarah Ayah 160 
  [OK] 002161.mp3 - Al-Baqarah Ayah 161 
  [OK] 002162.mp3 - Al-Baqarah Ayah 162 
  [OK] 002163.mp3 - Al-Baqarah Ayah 163 
  [OK] 002164.mp3 - Al-Baqarah Ayah 164 
  [OK] 002165.mp3 - Al-Baqarah Ayah 165 
  [OK] 002166.mp3 - Al-Baqarah Ayah 166 
  [OK] 002167.mp3 - Al-Baqarah Ayah 167 
  [OK] 002168.mp3 - Al-Baqarah Ayah 168 
  [OK] 002169.mp3 - Al-Baqarah Ayah 169 
  [OK] 002170.mp3 - Al-Baqarah Ayah 170 
  [OK] 002171.mp3 - Al-Baqarah Ayah 171 
  [OK] 002172.mp3 - Al-Baqarah Ayah 172 
  [OK] 002173.mp3 - Al-Baqarah Ayah 173 
  [OK] 002174.mp3 - Al-Baqarah Ayah 174 
  [OK] 002175.mp3 - Al-Baqarah Ayah 175 
  [OK] 002176.mp3 - Al-Baqarah Ayah 176 
  [OK] 002177.mp3 - Al-Baqarah Ayah 177 
  [OK] 002178.mp3 - Al-Baqarah Ayah 178 
  [OK] 002179.mp3 - Al-Baqarah Ayah 179 
  [OK] 002180.mp3 - Al-Baqarah Ayah 180 
  [OK] 002181.mp3 - Al-Baqarah Ayah 181 
  [OK] 002182.mp3 - Al-Baqarah Ayah 182 
  [OK] 002183.mp3 - Al-Baqarah Ayah 183 
  [OK] 002184.mp3 - Al-Baqarah Ayah 184 
  [OK] 002185.mp3 - Al-Baqarah Ayah 185 
  [OK] 002186.mp3 - Al-Baqarah Ayah 186 
  [OK] 002187.mp3 - Al-Baqarah Ayah 187 
  [OK] 002188.mp3 - Al-Baqarah Ayah 188 
  [OK] 002189.mp3 - Al-Baqarah Ayah 189 
  [OK] 002190.mp3 - Al-Baqarah Ayah 190 
  [OK] 002191.mp3 - Al-Baqarah Ayah 191 
  [OK] 002192.mp3 - Al-Baqarah Ayah 192 
  [OK] 002193.mp3 - Al-Baqarah Ayah 193 
  [OK] 002194.mp3 - Al-Baqarah Ayah 194 
  [OK] 002195.mp3 - Al-Baqarah Ayah 195 
  [OK] 002196.mp3 - Al-Baqarah Ayah 196 
  [OK] 002197.mp3 - Al-Baqarah Ayah 197 
  [OK] 002198.mp3 - Al-Baqarah Ayah 198 
  [OK] 002199.mp3 - Al-Baqarah Ayah 199 
  [OK] 002200.mp3 - Al-Baqarah Ayah 200 
  [OK] 002201.mp3 - Al-Baqarah Ayah 201 
  [OK] 002202.mp3 - Al-Baqarah Ayah 202 
  [OK] 002203.mp3 - Al-Baqarah Ayah 203 
  [OK] 002204.mp3 - Al-Baqarah Ayah 204 
  [OK] 002205.mp3 - Al-Baqarah Ayah 205 
  [OK] 002206.mp3 - Al-Baqarah Ayah 206 
  [OK] 002207.mp3 - Al-Baqarah Ayah 207 
  [OK] 002208.mp3 - Al-Baqarah Ayah 208 
  [OK] 002209.mp3 - Al-Baqarah Ayah 209 
  [OK] 002210.mp3 - Al-Baqarah Ayah 210 
  [OK] 002211.mp3 - Al-Baqarah Ayah 211 
  [OK] 002212.mp3 - Al-Baqarah Ayah 212 
  [OK] 002213.mp3 - Al-Baqarah Ayah 213 
  [OK] 002214.mp3 - Al-Baqarah Ayah 214 
  [OK] 002215.mp3 - Al-Baqarah Ayah 215 
  [OK] 002216.mp3 - Al-Baqarah Ayah 216 
  [OK] 002217.mp3 - Al-Baqarah Ayah 217 
  [OK] 002218.mp3 - Al-Baqarah Ayah 218 
  [OK] 002219.mp3 - Al-Baqarah Ayah 219 
  [OK] 002220.mp3 - Al-Baqarah Ayah 220 
  [OK] 002221.mp3 - Al-Baqarah Ayah 221 
  [OK] 002222.mp3 - Al-Baqarah Ayah 222 
  [OK] 002223.mp3 - Al-Baqarah Ayah 223 
  [OK] 002224.mp3 - Al-Baqarah Ayah 224 
  [OK] 002225.mp3 - Al-Baqarah Ayah 225 
  [OK] 002226.mp3 - Al-Baqarah Ayah 226 
  [OK] 002227.mp3 - Al-Baqarah Ayah 227 
  [OK] 002228.mp3 - Al-Baqarah Ayah 228 
  [OK] 002229.mp3 - Al-Baqarah Ayah 229 
  [OK] 002230.mp3 - Al-Baqarah Ayah 230 
  [OK] 002231.mp3 - Al-Baqarah Ayah 231 
  [OK] 002232.mp3 - Al-Baqarah Ayah 232 
  [OK] 002233.mp3 - Al-Baqarah Ayah 233 
  [OK] 002234.mp3 - Al-Baqarah Ayah 234 
  [OK] 002235.mp3 - Al-Baqarah Ayah 235 
  [OK] 002236.mp3 - Al-Baqarah Ayah 236 
  [OK] 002237.mp3 - Al-Baqarah Ayah 237 
  [OK] 002238.mp3 - Al-Baqarah Ayah 238 
  [OK] 002239.mp3 - Al-Baqarah Ayah 239 
  [OK] 002240.mp3 - Al-Baqarah Ayah 240 
  [OK] 002241.mp3 - Al-Baqarah Ayah 241 
  [OK] 002242.mp3 - Al-Baqarah Ayah 242 
  [OK] 002243.mp3 - Al-Baqarah Ayah 243 
  [OK] 002244.mp3 - Al-Baqarah Ayah 244 
  [OK] 002245.mp3 - Al-Baqarah Ayah 245 
  [OK] 002246.mp3 - Al-Baqarah Ayah 246 
  [OK] 002247.mp3 - Al-Baqarah Ayah 247 
  [OK] 002248.mp3 - Al-Baqarah Ayah 248 
  [OK] 002249.mp3 - Al-Baqarah Ayah 249 
  [OK] 002250.mp3 - Al-Baqarah Ayah 250 
  [OK] 002251.mp3 - Al-Baqarah Ayah 251 
  [OK] 002252.mp3 - Al-Baqarah Ayah 252 
  [OK] 002253.mp3 - Al-Baqarah Ayah 253 
  [OK] 002254.mp3 - Al-Baqarah Ayah 254 
  [OK] 002255.mp3 - Al-Baqarah Ayah 255 
  [OK] 002256.mp3 - Al-Baqarah Ayah 256 
  [OK] 002257.mp3 - Al-Baqarah Ayah 257 
  [OK] 002258.mp3 - Al-Baqarah Ayah 258 
  [OK] 002259.mp3 - Al-Baqarah Ayah 259 
  [OK] 002260.mp3 - Al-Baqarah Ayah 260 
  [OK] 002261.mp3 - Al-Baqarah Ayah 261 
  [OK] 002262.mp3 - Al-Baqarah Ayah 262 
  [OK] 002263.mp3 - Al-Baqarah Ayah 263 
  [OK] 002264.mp3 - Al-Baqarah Ayah 264 
  [OK] 002265.mp3 - Al-Baqarah Ayah 265 
  [OK] 002266.mp3 - Al-Baqarah Ayah 266 
  [OK] 002267.mp3 - Al-Baqarah Ayah 267 
  [OK] 002268.mp3 - Al-Baqarah Ayah 268 
  [OK] 002269.mp3 - Al-Baqarah Ayah 269 
  [OK] 002270.mp3 - Al-Baqarah Ayah 270 
  [OK] 002271.mp3 - Al-Baqarah Ayah 271 
  [OK] 002272.mp3 - Al-Baqarah Ayah 272 
  [OK] 002273.mp3 - Al-Baqarah Ayah 273 
  [OK] 002274.mp3 - Al-Baqarah Ayah 274 
  [OK] 002275.mp3 - Al-Baqarah Ayah 275 
  [OK] 002276.mp3 - Al-Baqarah Ayah 276 
  [OK] 002277.mp3 - Al-Baqarah Ayah 277 
  [OK] 002278.mp3 - Al-Baqarah Ayah 278 
  [OK] 002279.mp3 - Al-Baqarah Ayah 279 
  [OK] 002280.mp3 - Al-Baqarah Ayah 280 
  [OK] 002281.mp3 - Al-Baqarah Ayah 281 
  [OK] 002282.mp3 - Al-Baqarah Ayah 282 
  [OK] 002283.mp3 - Al-Baqarah Ayah 283 
  [OK] 002284.mp3 - Al-Baqarah Ayah 284 
  [OK] 002285.mp3 - Al-Baqarah Ayah 285 
  [OK] 002286.mp3 - Al-Baqarah Ayah 286 
[002] Al-Baqarah complete! 
[099] Downloading Az-Zalzalah (8 ayahs)... 
  [OK] 099001.mp3 - Az-Zalzalah Ayah 1 
  [OK] 099002.mp3 - Az-Zalzalah Ayah 2 
  [OK] 099003.mp3 - Az-Zalzalah Ayah 3 
  [OK] 099004.mp3 - Az-Zalzalah Ayah 4 
  [OK] 099005.mp3 - Az-Zalzalah Ayah 5 
  [OK] 099006.mp3 - Az-Zalzalah Ayah 6 
  [OK] 099007.mp3 - Az-Zalzalah Ayah 7 
  [OK] 099008.mp3 - Az-Zalzalah Ayah 8 
[099] Az-Zalzalah complete! 
[100] Downloading Al-Adiyat (11 ayahs)... 
  [OK] 100001.mp3 - Al-Adiyat Ayah 1 
  [OK] 100002.mp3 - Al-Adiyat Ayah 2 
  [OK] 100003.mp3 - Al-Adiyat Ayah 3 
  [OK] 100004.mp3 - Al-Adiyat Ayah 4 
  [OK] 100005.mp3 - Al-Adiyat Ayah 5 
  [OK] 100006.mp3 - Al-Adiyat Ayah 6 
  [OK] 100007.mp3 - Al-Adiyat Ayah 7 
  [OK] 100008.mp3 - Al-Adiyat Ayah 8 
  [OK] 100009.mp3 - Al-Adiyat Ayah 9 
  [OK] 100010.mp3 - Al-Adiyat Ayah 10 
  [OK] 100011.mp3 - Al-Adiyat Ayah 11 
[100] Al-Adiyat complete! 
[101] Downloading Al-Qariah (11 ayahs)... 
  [OK] 101001.mp3 - Al-Qariah Ayah 1 
  [OK] 101002.mp3 - Al-Qariah Ayah 2 
  [OK] 101003.mp3 - Al-Qariah Ayah 3 
  [OK] 101004.mp3 - Al-Qariah Ayah 4 
  [OK] 101005.mp3 - Al-Qariah Ayah 5 
  [OK] 101006.mp3 - Al-Qariah Ayah 6 
  [OK] 101007.mp3 - Al-Qariah Ayah 7 
  [OK] 101008.mp3 - Al-Qariah Ayah 8 
  [OK] 101009.mp3 - Al-Qariah Ayah 9 
  [OK] 101010.mp3 - Al-Qariah Ayah 10 
  [OK] 101011.mp3 - Al-Qariah Ayah 11 
[101] Al-Qariah complete! 
[102] Downloading At-Takathur (8 ayahs)... 
  [OK] 102001.mp3 - At-Takathur Ayah 1 
  [OK] 102002.mp3 - At-Takathur Ayah 2 
  [OK] 102003.mp3 - At-Takathur Ayah 3 
  [OK] 102004.mp3 - At-Takathur Ayah 4 
  [OK] 102005.mp3 - At-Takathur Ayah 5 
  [OK] 102006.mp3 - At-Takathur Ayah 6 
  [OK] 102007.mp3 - At-Takathur Ayah 7 
  [OK] 102008.mp3 - At-Takathur Ayah 8 
[102] At-Takathur complete! 
[103] Downloading Al-Asr (3 ayahs)... 
  [OK] 103001.mp3 - Al-Asr Ayah 1 
  [OK] 103002.mp3 - Al-Asr Ayah 2 
  [OK] 103003.mp3 - Al-Asr Ayah 3 
[103] Al-Asr complete! 
[104] Downloading Al-Humazah (9 ayahs)... 
  [OK] 104001.mp3 - Al-Humazah Ayah 1 
  [OK] 104002.mp3 - Al-Humazah Ayah 2 
  [OK] 104003.mp3 - Al-Humazah Ayah 3 
  [OK] 104004.mp3 - Al-Humazah Ayah 4 
  [OK] 104005.mp3 - Al-Humazah Ayah 5 
  [OK] 104006.mp3 - Al-Humazah Ayah 6 
  [OK] 104007.mp3 - Al-Humazah Ayah 7 
  [OK] 104008.mp3 - Al-Humazah Ayah 8 
  [OK] 104009.mp3 - Al-Humazah Ayah 9 
[104] Al-Humazah complete! 
[105] Downloading Al-Fil (5 ayahs)... 
  [OK] 105001.mp3 - Al-Fil Ayah 1 
  [OK] 105002.mp3 - Al-Fil Ayah 2 
  [OK] 105003.mp3 - Al-Fil Ayah 3 
  [OK] 105004.mp3 - Al-Fil Ayah 4 
  [OK] 105005.mp3 - Al-Fil Ayah 5 
[105] Al-Fil complete! 
[106] Downloading Quraish (4 ayahs)... 
  [OK] 106001.mp3 - Quraish Ayah 1 
  [OK] 106002.mp3 - Quraish Ayah 2 
  [OK] 106003.mp3 - Quraish Ayah 3 
  [OK] 106004.mp3 - Quraish Ayah 4 
[106] Quraish complete! 
[107] Downloading Al-Maun (7 ayahs)... 
  [OK] 107001.mp3 - Al-Maun Ayah 1 
  [OK] 107002.mp3 - Al-Maun Ayah 2 
  [OK] 107003.mp3 - Al-Maun Ayah 3 
  [OK] 107004.mp3 - Al-Maun Ayah 4 
  [OK] 107005.mp3 - Al-Maun Ayah 5 
  [OK] 107006.mp3 - Al-Maun Ayah 6 
  [OK] 107007.mp3 - Al-Maun Ayah 7 
[107] Al-Maun complete! 
[108] Downloading Al-Kawthar (3 ayahs)... 
  [OK] 108001.mp3 - Al-Kawthar Ayah 1 
  [OK] 108002.mp3 - Al-Kawthar Ayah 2 
  [OK] 108003.mp3 - Al-Kawthar Ayah 3 
[108] Al-Kawthar complete! 
[063] Downloading Al-Munafiqun (11 ayahs)... 
  [OK] 063001.mp3 - Al-Munafiqun Ayah 1 
  [OK] 063002.mp3 - Al-Munafiqun Ayah 2 
  [OK] 063003.mp3 - Al-Munafiqun Ayah 3 
  [OK] 063004.mp3 - Al-Munafiqun Ayah 4 
  [OK] 063005.mp3 - Al-Munafiqun Ayah 5 
  [OK] 063006.mp3 - Al-Munafiqun Ayah 6 
  [OK] 063007.mp3 - Al-Munafiqun Ayah 7 
  [OK] 063008.mp3 - Al-Munafiqun Ayah 8 
  [OK] 063009.mp3 - Al-Munafiqun Ayah 9 
  [OK] 063010.mp3 - Al-Munafiqun Ayah 10 
  [OK] 063011.mp3 - Al-Munafiqun Ayah 11 
[063] Al-Munafiqun complete! 
[064] Downloading At-Taghabun (18 ayahs)... 
  [OK] 064001.mp3 - At-Taghabun Ayah 1 
  [OK] 064002.mp3 - At-Taghabun Ayah 2 
  [OK] 064003.mp3 - At-Taghabun Ayah 3 
  [OK] 064004.mp3 - At-Taghabun Ayah 4 
  [OK] 064005.mp3 - At-Taghabun Ayah 5 
  [OK] 064006.mp3 - At-Taghabun Ayah 6 
  [OK] 064007.mp3 - At-Taghabun Ayah 7 
  [OK] 064008.mp3 - At-Taghabun Ayah 8 
  [OK] 064009.mp3 - At-Taghabun Ayah 9 
  [OK] 064010.mp3 - At-Taghabun Ayah 10 
  [OK] 064011.mp3 - At-Taghabun Ayah 11 
  [OK] 064012.mp3 - At-Taghabun Ayah 12 
  [OK] 064013.mp3 - At-Taghabun Ayah 13 
  [OK] 064014.mp3 - At-Taghabun Ayah 14 
  [OK] 064015.mp3 - At-Taghabun Ayah 15 
  [OK] 064016.mp3 - At-Taghabun Ayah 16 
  [OK] 064017.mp3 - At-Taghabun Ayah 17 
  [OK] 064018.mp3 - At-Taghabun Ayah 18 
[064] At-Taghabun complete! 
[065] Downloading At-Talaq (12 ayahs)... 
  [OK] 065001.mp3 - At-Talaq Ayah 1 
  [OK] 065002.mp3 - At-Talaq Ayah 2 
  [OK] 065003.mp3 - At-Talaq Ayah 3 
  [OK] 065004.mp3 - At-Talaq Ayah 4 
  [OK] 065005.mp3 - At-Talaq Ayah 5 
  [OK] 065006.mp3 - At-Talaq Ayah 6 
  [OK] 065007.mp3 - At-Talaq Ayah 7 
  [OK] 065008.mp3 - At-Talaq Ayah 8 
  [OK] 065009.mp3 - At-Talaq Ayah 9 
  [OK] 065010.mp3 - At-Talaq Ayah 10 
  [OK] 065011.mp3 - At-Talaq Ayah 11 
  [OK] 065012.mp3 - At-Talaq Ayah 12 
[065] At-Talaq complete! 
[066] Downloading At-Tahrim (12 ayahs)... 
  [OK] 066001.mp3 - At-Tahrim Ayah 1 
  [OK] 066002.mp3 - At-Tahrim Ayah 2 
  [OK] 066003.mp3 - At-Tahrim Ayah 3 
  [OK] 066004.mp3 - At-Tahrim Ayah 4 
  [OK] 066005.mp3 - At-Tahrim Ayah 5 
  [OK] 066006.mp3 - At-Tahrim Ayah 6 
  [OK] 066007.mp3 - At-Tahrim Ayah 7 
  [OK] 066008.mp3 - At-Tahrim Ayah 8 
  [OK] 066009.mp3 - At-Tahrim Ayah 9 
  [OK] 066010.mp3 - At-Tahrim Ayah 10 
  [OK] 066011.mp3 - At-Tahrim Ayah 11 
  [OK] 066012.mp3 - At-Tahrim Ayah 12 
[066] At-Tahrim complete! 
[067] Downloading Al-Mulk (30 ayahs)... 
  [OK] 067001.mp3 - Al-Mulk Ayah 1 
  [OK] 067002.mp3 - Al-Mulk Ayah 2 
  [OK] 067003.mp3 - Al-Mulk Ayah 3 
  [OK] 067004.mp3 - Al-Mulk Ayah 4 
  [OK] 067005.mp3 - Al-Mulk Ayah 5 
  [OK] 067006.mp3 - Al-Mulk Ayah 6 
  [OK] 067007.mp3 - Al-Mulk Ayah 7 
  [OK] 067008.mp3 - Al-Mulk Ayah 8 
  [OK] 067009.mp3 - Al-Mulk Ayah 9 
  [OK] 067010.mp3 - Al-Mulk Ayah 10 
  [OK] 067011.mp3 - Al-Mulk Ayah 11 
  [OK] 067012.mp3 - Al-Mulk Ayah 12 
  [OK] 067013.mp3 - Al-Mulk Ayah 13 
  [OK] 067014.mp3 - Al-Mulk Ayah 14 
  [OK] 067015.mp3 - Al-Mulk Ayah 15 
  [OK] 067016.mp3 - Al-Mulk Ayah 16 
  [OK] 067017.mp3 - Al-Mulk Ayah 17 
  [OK] 067018.mp3 - Al-Mulk Ayah 18 
  [OK] 067019.mp3 - Al-Mulk Ayah 19 
  [OK] 067020.mp3 - Al-Mulk Ayah 20 
  [OK] 067021.mp3 - Al-Mulk Ayah 21 
  [OK] 067022.mp3 - Al-Mulk Ayah 22 
  [OK] 067023.mp3 - Al-Mulk Ayah 23 
  [OK] 067024.mp3 - Al-Mulk Ayah 24 
  [OK] 067025.mp3 - Al-Mulk Ayah 25 
  [OK] 067026.mp3 - Al-Mulk Ayah 26 
  [OK] 067027.mp3 - Al-Mulk Ayah 27 
  [OK] 067028.mp3 - Al-Mulk Ayah 28 
  [OK] 067029.mp3 - Al-Mulk Ayah 29 
  [OK] 067030.mp3 - Al-Mulk Ayah 30 
[067] Al-Mulk complete! 
[068] Downloading Al-Qalam (52 ayahs)... 
